date,Create a Podcast,isPartial
2018-06-10,35,False
2018-06-17,24,False
2018-06-24,38,False
2018-07-01,40,False
2018-07-08,38,False
2018-07-15,37,False
2018-07-22,61,False
2018-07-29,39,False
2018-08-05,42,False
2018-08-12,53,False
2018-08-19,41,False
2018-08-26,59,False
2018-09-02,33,False
2018-09-09,30,False
2018-09-16,28,False
2018-09-23,61,False
2018-09-30,49,False
2018-10-07,69,False
2018-10-14,39,False
2018-10-21,38,False
2018-10-28,45,False
2018-11-04,32,False
2018-11-11,43,False
2018-11-18,49,False
2018-11-25,42,False
2018-12-02,31,False
2018-12-09,39,False
2018-12-16,17,False
2018-12-23,10,False
2018-12-30,58,False
2019-01-06,69,False
2019-01-13,42,False
2019-01-20,50,False
2019-01-27,34,False
2019-02-03,51,False
2019-02-10,46,False
2019-02-17,35,False
2019-02-24,58,False
2019-03-03,44,False
2019-03-10,43,False
2019-03-17,38,False
2019-03-24,40,False
2019-03-31,34,False
2019-04-07,50,False
2019-04-14,41,False
2019-04-21,50,False
2019-04-28,22,False
2019-05-05,27,False
2019-05-12,49,False
2019-05-19,62,False
2019-05-26,58,False
2019-06-02,35,False
2019-06-09,47,False
2019-06-16,71,False
2019-06-23,22,False
2019-06-30,46,False
2019-07-07,60,False
2019-07-14,23,False
2019-07-21,56,False
2019-07-28,39,False
2019-08-04,86,False
2019-08-11,53,False
2019-08-18,33,False
2019-08-25,38,False
2019-09-01,61,False
2019-09-08,52,False
2019-09-15,43,False
2019-09-22,56,False
2019-09-29,43,False
2019-10-06,41,False
2019-10-13,23,False
2019-10-20,52,False
2019-10-27,55,False
2019-11-03,39,False
2019-11-10,67,False
2019-11-17,50,False
2019-11-24,48,False
2019-12-01,54,False
2019-12-08,68,False
2019-12-15,50,False
2019-12-22,31,False
2019-12-29,48,False
2020-01-05,53,False
2020-01-12,52,False
2020-01-19,67,False
2020-01-26,41,False
2020-02-02,45,False
2020-02-09,51,False
2020-02-16,77,False
2020-02-23,54,False
2020-03-01,57,False
2020-03-08,45,False
2020-03-15,77,False
2020-03-22,98,False
2020-03-29,85,False
2020-04-05,70,False
2020-04-12,91,False
2020-04-19,70,False
2020-04-26,99,False
2020-05-03,63,False
2020-05-10,89,False
2020-05-17,95,False
2020-05-24,61,False
2020-05-31,64,False
2020-06-07,60,False
2020-06-14,60,False
2020-06-21,76,False
2020-06-28,66,False
2020-07-05,52,False
2020-07-12,73,False
2020-07-19,75,False
2020-07-26,72,False
2020-08-02,68,False
2020-08-09,54,False
2020-08-16,74,False
2020-08-23,74,False
2020-08-30,42,False
2020-09-06,43,False
2020-09-13,57,False
2020-09-20,51,False
2020-09-27,62,False
2020-10-04,78,False
2020-10-11,45,False
2020-10-18,38,False
2020-10-25,50,False
2020-11-01,56,False
2020-11-08,44,False
2020-11-15,56,False
2020-11-22,51,False
2020-11-29,55,False
2020-12-06,59,False
2020-12-13,47,False
2020-12-20,31,False
2020-12-27,58,False
2021-01-03,67,False
2021-01-10,44,False
2021-01-17,44,False
2021-01-24,62,False
2021-01-31,48,False
2021-02-07,22,False
2021-02-14,62,False
2021-02-21,40,False
2021-02-28,49,False
2021-03-07,56,False
2021-03-14,42,False
2021-03-21,44,False
2021-03-28,51,False
2021-04-04,57,False
2021-04-11,45,False
2021-04-18,60,False
